artifact_id,required_field,value_source,normalized_value_present
phase7,cost_model_version,source_manifest_exact_or_alias,True
phase7,latency_model_version,source_manifest_exact_or_alias,True
phase7,creation_timestamp,source_manifest_exact_or_alias,True
phase8,generator_version,source_manifest_exact_or_alias,True
phase8,configuration_hash,source_manifest_exact_or_alias,True
phase8,random_seed,source_manifest_exact_or_alias,True
phase8,calibration_dataset_id,source_manifest_exact_or_alias,True
phase8,ticker_metadata_version,source_manifest_exact_or_alias,True
phase8,regime_calendar_version,source_manifest_exact_or_alias,True
phase8,scenario_ids,source_manifest_exact_or_alias,True
phase8,cost_model_version,source_manifest_exact_or_alias,True
phase8,latency_model_version,source_manifest_exact_or_alias,True
phase8,creation_timestamp,source_manifest_exact_or_alias,True
phase9,generator_version,source_manifest_exact_or_alias,True
phase9,configuration_hash,source_manifest_exact_or_alias,True
phase9,random_seed,source_manifest_exact_or_alias,True
phase9,calibration_dataset_id,source_manifest_exact_or_alias,True
phase9,ticker_metadata_version,source_manifest_exact_or_alias,True
phase9,regime_calendar_version,source_manifest_exact_or_alias,True
phase9,scenario_ids,source_manifest_exact_or_alias,True
phase9,cost_model_version,source_manifest_exact_or_alias,True
phase9,latency_model_version,source_manifest_exact_or_alias,True
phase9,creation_timestamp,source_manifest_exact_or_alias,True
phase10,generator_version,source_manifest_exact_or_alias,True
phase10,configuration_hash,source_manifest_exact_or_alias,True
phase10,random_seed,source_manifest_exact_or_alias,True
phase10,calibration_dataset_id,source_manifest_exact_or_alias,True
phase10,ticker_metadata_version,source_manifest_exact_or_alias,True
phase10,regime_calendar_version,source_manifest_exact_or_alias,True
phase10,scenario_ids,source_manifest_exact_or_alias,True
phase10,cost_model_version,source_manifest_exact_or_alias,True
phase10,latency_model_version,source_manifest_exact_or_alias,True
phase10,creation_timestamp,source_manifest_exact_or_alias,True
phase11,generator_version,source_manifest_exact_or_alias,True
phase11,configuration_hash,source_manifest_exact_or_alias,True
phase11,random_seed,source_manifest_exact_or_alias,True
phase11,calibration_dataset_id,source_manifest_exact_or_alias,True
phase11,ticker_metadata_version,source_manifest_exact_or_alias,True
phase11,regime_calendar_version,source_manifest_exact_or_alias,True
phase11,scenario_ids,source_manifest_exact_or_alias,True
phase11,cost_model_version,source_manifest_exact_or_alias,True
phase11,latency_model_version,source_manifest_exact_or_alias,True
phase11,creation_timestamp,source_manifest_exact_or_alias,True
phase11_strategy_modules,generator_version,source_manifest_exact_or_alias,True
phase11_strategy_modules,configuration_hash,source_manifest_exact_or_alias,True
phase11_strategy_modules,random_seed,source_manifest_exact_or_alias,True
phase11_strategy_modules,calibration_dataset_id,source_manifest_exact_or_alias,True
phase11_strategy_modules,ticker_metadata_version,source_manifest_exact_or_alias,True
phase11_strategy_modules,regime_calendar_version,source_manifest_exact_or_alias,True
phase11_strategy_modules,scenario_ids,source_manifest_exact_or_alias,True
phase11_strategy_modules,cost_model_version,source_manifest_exact_or_alias,True
phase11_strategy_modules,latency_model_version,source_manifest_exact_or_alias,True
phase11_strategy_modules,creation_timestamp,source_manifest_exact_or_alias,True
phase12,generator_version,source_manifest_exact_or_alias,True
phase12,configuration_hash,source_manifest_exact_or_alias,True
phase12,random_seed,source_manifest_exact_or_alias,True
phase12,calibration_dataset_id,source_manifest_exact_or_alias,True
phase12,ticker_metadata_version,source_manifest_exact_or_alias,True
phase12,regime_calendar_version,source_manifest_exact_or_alias,True
phase12,scenario_ids,source_manifest_exact_or_alias,True
phase12,cost_model_version,source_manifest_exact_or_alias,True
phase12,latency_model_version,source_manifest_exact_or_alias,True
phase12,creation_timestamp,source_manifest_exact_or_alias,True
phase12_event_backtest,generator_version,source_manifest_exact_or_alias,True
phase12_event_backtest,configuration_hash,source_manifest_exact_or_alias,True
phase12_event_backtest,random_seed,source_manifest_exact_or_alias,True
phase12_event_backtest,calibration_dataset_id,source_manifest_exact_or_alias,True
phase12_event_backtest,ticker_metadata_version,source_manifest_exact_or_alias,True
phase12_event_backtest,regime_calendar_version,source_manifest_exact_or_alias,True
phase12_event_backtest,scenario_ids,source_manifest_exact_or_alias,True
phase12_event_backtest,cost_model_version,source_manifest_exact_or_alias,True
phase12_event_backtest,latency_model_version,source_manifest_exact_or_alias,True
phase12_event_backtest,creation_timestamp,source_manifest_exact_or_alias,True
phase13,generator_version,source_manifest_exact_or_alias,True
phase13,configuration_hash,source_manifest_exact_or_alias,True
phase13,random_seed,source_manifest_exact_or_alias,True
phase13,calibration_dataset_id,source_manifest_exact_or_alias,True
phase13,ticker_metadata_version,source_manifest_exact_or_alias,True
phase13,regime_calendar_version,source_manifest_exact_or_alias,True
phase13,scenario_ids,source_manifest_exact_or_alias,True
phase13,cost_model_version,source_manifest_exact_or_alias,True
phase13,latency_model_version,source_manifest_exact_or_alias,True
phase13,creation_timestamp,source_manifest_exact_or_alias,True
phase13_smoke_run,generator_version,source_manifest_exact_or_alias,True
phase13_smoke_run,configuration_hash,source_manifest_exact_or_alias,True
phase13_smoke_run,random_seed,source_manifest_exact_or_alias,True
phase13_smoke_run,calibration_dataset_id,source_manifest_exact_or_alias,True
phase13_smoke_run,ticker_metadata_version,source_manifest_exact_or_alias,True
phase13_smoke_run,regime_calendar_version,source_manifest_exact_or_alias,True
phase13_smoke_run,scenario_ids,source_manifest_exact_or_alias,True
phase13_smoke_run,cost_model_version,source_manifest_exact_or_alias,True
phase13_smoke_run,latency_model_version,source_manifest_exact_or_alias,True
phase13_smoke_run,creation_timestamp,source_manifest_exact_or_alias,True
phase14,generator_version,source_manifest_exact_or_alias,True
phase14,configuration_hash,source_manifest_exact_or_alias,True
phase14,random_seed,source_manifest_exact_or_alias,True
phase14,calibration_dataset_id,source_manifest_exact_or_alias,True
phase14,ticker_metadata_version,source_manifest_exact_or_alias,True
phase14,regime_calendar_version,source_manifest_exact_or_alias,True
phase14,scenario_ids,source_manifest_exact_or_alias,True
phase14,cost_model_version,source_manifest_exact_or_alias,True
phase14,latency_model_version,source_manifest_exact_or_alias,True
phase14,creation_timestamp,source_manifest_exact_or_alias,True
phase15,generator_version,source_manifest_exact_or_alias,True
phase15,configuration_hash,source_manifest_exact_or_alias,True
phase15,random_seed,source_manifest_exact_or_alias,True
phase15,calibration_dataset_id,source_manifest_exact_or_alias,True
phase15,ticker_metadata_version,source_manifest_exact_or_alias,True
phase15,regime_calendar_version,source_manifest_exact_or_alias,True
phase15,scenario_ids,source_manifest_exact_or_alias,True
phase15,cost_model_version,source_manifest_exact_or_alias,True
phase15,latency_model_version,source_manifest_exact_or_alias,True
phase15,creation_timestamp,source_manifest_exact_or_alias,True
phase16,generator_version,source_manifest_exact_or_alias,True
phase16,configuration_hash,source_manifest_exact_or_alias,True
phase16,random_seed,source_manifest_exact_or_alias,True
phase16,calibration_dataset_id,source_manifest_exact_or_alias,True
phase16,ticker_metadata_version,source_manifest_exact_or_alias,True
phase16,regime_calendar_version,source_manifest_exact_or_alias,True
phase16,scenario_ids,source_manifest_exact_or_alias,True
phase16,cost_model_version,source_manifest_exact_or_alias,True
phase16,latency_model_version,source_manifest_exact_or_alias,True
phase16,creation_timestamp,source_manifest_exact_or_alias,True
phase17,generator_version,source_manifest_exact_or_alias,True
phase17,configuration_hash,source_manifest_exact_or_alias,True
phase17,random_seed,source_manifest_exact_or_alias,True
phase17,calibration_dataset_id,source_manifest_exact_or_alias,True
phase17,ticker_metadata_version,source_manifest_exact_or_alias,True
phase17,regime_calendar_version,source_manifest_exact_or_alias,True
phase17,scenario_ids,source_manifest_exact_or_alias,True
phase17,cost_model_version,source_manifest_exact_or_alias,True
phase17,latency_model_version,source_manifest_exact_or_alias,True
phase17,creation_timestamp,source_manifest_exact_or_alias,True
phase18,generator_version,source_manifest_exact_or_alias,True
phase18,configuration_hash,source_manifest_exact_or_alias,True
phase18,random_seed,source_manifest_exact_or_alias,True
phase18,calibration_dataset_id,source_manifest_exact_or_alias,True
phase18,ticker_metadata_version,source_manifest_exact_or_alias,True
phase18,regime_calendar_version,source_manifest_exact_or_alias,True
phase18,scenario_ids,source_manifest_exact_or_alias,True
phase18,cost_model_version,source_manifest_exact_or_alias,True
phase18,latency_model_version,source_manifest_exact_or_alias,True
phase18,creation_timestamp,source_manifest_exact_or_alias,True
phase20,generator_version,source_manifest_exact_or_alias,True
phase20,configuration_hash,source_manifest_exact_or_alias,True
phase20,random_seed,source_manifest_exact_or_alias,True
phase20,calibration_dataset_id,source_manifest_exact_or_alias,True
phase20,ticker_metadata_version,source_manifest_exact_or_alias,True
phase20,regime_calendar_version,source_manifest_exact_or_alias,True
phase20,scenario_ids,source_manifest_exact_or_alias,True
phase20,cost_model_version,source_manifest_exact_or_alias,True
phase20,latency_model_version,source_manifest_exact_or_alias,True
phase20,creation_timestamp,source_manifest_exact_or_alias,True
phase20_m01,generator_version,source_manifest_exact_or_alias,True
phase20_m01,configuration_hash,source_manifest_exact_or_alias,True
phase20_m01,random_seed,source_manifest_exact_or_alias,True
phase20_m01,calibration_dataset_id,source_manifest_exact_or_alias,True
phase20_m01,ticker_metadata_version,source_manifest_exact_or_alias,True
phase20_m01,regime_calendar_version,source_manifest_exact_or_alias,True
phase20_m01,scenario_ids,source_manifest_exact_or_alias,True
phase20_m01,cost_model_version,source_manifest_exact_or_alias,True
phase20_m01,latency_model_version,source_manifest_exact_or_alias,True
phase20_m01,creation_timestamp,source_manifest_exact_or_alias,True
phase20_m02,generator_version,source_manifest_exact_or_alias,True
phase20_m02,configuration_hash,source_manifest_exact_or_alias,True
phase20_m02,random_seed,source_manifest_exact_or_alias,True
phase20_m02,calibration_dataset_id,source_manifest_exact_or_alias,True
phase20_m02,ticker_metadata_version,source_manifest_exact_or_alias,True
phase20_m02,regime_calendar_version,source_manifest_exact_or_alias,True
phase20_m02,scenario_ids,source_manifest_exact_or_alias,True
phase20_m02,cost_model_version,source_manifest_exact_or_alias,True
phase20_m02,latency_model_version,source_manifest_exact_or_alias,True
phase20_m02,creation_timestamp,source_manifest_exact_or_alias,True
phase20_m03,generator_version,source_manifest_exact_or_alias,True
phase20_m03,configuration_hash,source_manifest_exact_or_alias,True
phase20_m03,random_seed,source_manifest_exact_or_alias,True
phase20_m03,calibration_dataset_id,source_manifest_exact_or_alias,True
phase20_m03,ticker_metadata_version,source_manifest_exact_or_alias,True
phase20_m03,regime_calendar_version,source_manifest_exact_or_alias,True
phase20_m03,scenario_ids,source_manifest_exact_or_alias,True
phase20_m03,cost_model_version,source_manifest_exact_or_alias,True
phase20_m03,latency_model_version,source_manifest_exact_or_alias,True
phase20_m03,creation_timestamp,source_manifest_exact_or_alias,True
phase20_m04,generator_version,source_manifest_exact_or_alias,True
phase20_m04,configuration_hash,source_manifest_exact_or_alias,True
phase20_m04,random_seed,source_manifest_exact_or_alias,True
phase20_m04,calibration_dataset_id,source_manifest_exact_or_alias,True
phase20_m04,ticker_metadata_version,source_manifest_exact_or_alias,True
phase20_m04,regime_calendar_version,source_manifest_exact_or_alias,True
phase20_m04,scenario_ids,source_manifest_exact_or_alias,True
phase20_m04,cost_model_version,source_manifest_exact_or_alias,True
