trade_date,exchange,symbol,parquet_files,bytes,first_file,last_file
2026-07-13,NSE,AXISBANK,1569,55030126,trade_date=2026-07-13/exchange=NSE/symbol=AXISBANK/part-034501_605662-000007.parquet,trade_date=2026-07-13/exchange=NSE/symbol=AXISBANK/part-100122_227622-050181.parquet
2026-07-13,NSE,BAJAJ-AUTO,1569,55531219,trade_date=2026-07-13/exchange=NSE/symbol=BAJAJ-AUTO/part-034501_757997-000008.parquet,trade_date=2026-07-13/exchange=NSE/symbol=BAJAJ-AUTO/part-100122_365351-050182.parquet
2026-07-13,NSE,BANKBEES,1569,54858026,trade_date=2026-07-13/exchange=NSE/symbol=BANKBEES/part-034515_611482-000036.parquet,trade_date=2026-07-13/exchange=NSE/symbol=BANKBEES/part-100141_131697-050207.parquet
2026-07-13,NSE,BHARTIARTL,1569,55190740,trade_date=2026-07-13/exchange=NSE/symbol=BHARTIARTL/part-034501_889174-000009.parquet,trade_date=2026-07-13/exchange=NSE/symbol=BHARTIARTL/part-100141_292382-050208.parquet
2026-07-13,NSE,BPCL,1569,54256472,trade_date=2026-07-13/exchange=NSE/symbol=BPCL/part-034502_038569-000010.parquet,trade_date=2026-07-13/exchange=NSE/symbol=BPCL/part-100122_503645-050183.parquet
2026-07-13,NSE,BRITANNIA,1569,54177058,trade_date=2026-07-13/exchange=NSE/symbol=BRITANNIA/part-034502_179937-000011.parquet,trade_date=2026-07-13/exchange=NSE/symbol=BRITANNIA/part-100122_650311-050184.parquet
2026-07-13,NSE,CIPLA,1569,54425687,trade_date=2026-07-13/exchange=NSE/symbol=CIPLA/part-034502_320381-000012.parquet,trade_date=2026-07-13/exchange=NSE/symbol=CIPLA/part-100141_444873-050209.parquet
2026-07-13,NSE,DRREDDY,1569,54592935,trade_date=2026-07-13/exchange=NSE/symbol=DRREDDY/part-034502_452126-000013.parquet,trade_date=2026-07-13/exchange=NSE/symbol=DRREDDY/part-100122_785508-050185.parquet
2026-07-13,NSE,GOLDBEES,1568,54501651,trade_date=2026-07-13/exchange=NSE/symbol=GOLDBEES/part-034516_327126-000042.parquet,trade_date=2026-07-13/exchange=NSE/symbol=GOLDBEES/part-100122_930799-050186.parquet
2026-07-13,NSE,HCLTECH,1569,56185830,trade_date=2026-07-13/exchange=NSE/symbol=HCLTECH/part-034502_601925-000014.parquet,trade_date=2026-07-13/exchange=NSE/symbol=HCLTECH/part-100123_073528-050187.parquet
2026-07-13,NSE,HDFCBANK,1569,56719345,trade_date=2026-07-13/exchange=NSE/symbol=HDFCBANK/part-034502_729724-000015.parquet,trade_date=2026-07-13/exchange=NSE/symbol=HDFCBANK/part-100123_219242-050188.parquet
2026-07-13,NSE,HINDUNILVR,1569,54585232,trade_date=2026-07-13/exchange=NSE/symbol=HINDUNILVR/part-034502_860555-000016.parquet,trade_date=2026-07-13/exchange=NSE/symbol=HINDUNILVR/part-100123_361642-050189.parquet
2026-07-13,NSE,ICICIBANK,1569,55797042,trade_date=2026-07-13/exchange=NSE/symbol=ICICIBANK/part-034502_988562-000017.parquet,trade_date=2026-07-13/exchange=NSE/symbol=ICICIBANK/part-100123_501495-050190.parquet
