candidate_id,family_id,cost_profile,scenario_rows,scheduled_event_rows,symbols,realized_net_pnl_inr,scheduled_notional_inr,avg_net_edge_bps,avg_depth_beyond_l1_qty_imbalance,avg_level_weighted_depth_imbalance,avg_spread_bps,return_on_scheduled_notional_bps
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p9_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100_plus_2bp,48,264,5,-3520.9419967062345,12700000.0,-3.2343148235840267,0.5437916140594434,0.4859700627387942,2.8778371127225912,-2.772395272997035
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p75_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100_plus_2bp,48,384,7,-3612.0956621005807,18400000.0,-1.972170674861565,0.5832381703101006,0.47749855884015613,3.0322639818498325,-1.9630954685329243
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100_plus_2bp,96,504,6,-4408.734144007309,23700000.0,-2.0069749169240874,0.560463607605721,0.4766221534647502,1.55971691585822,-1.8602253772182737
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p9_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100_plus_2bp,48,84,2,-4834.221576166834,4000000.0,-12.783138192433986,0.5726958568431121,0.5731882969199219,5.400855943625852,-12.085553940417086
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p75_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100_plus_2bp,48,276,5,-4945.136049772962,13400000.0,-3.5445820093283005,0.5463500485581412,0.42572272107004205,1.561136444731472,-3.6904000371440016
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p6_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100_plus_2bp,48,324,5,-6853.069622907408,15750000.0,-4.222253751451103,0.5552588080257276,0.4451986830926095,1.559799522777967,-4.351155316131687
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p6_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100_plus_2bp,48,300,5,-7039.868944293386,14350000.0,-4.880425135098751,0.5567658397926188,0.4447734291216616,1.5401235200383405,-4.905832016929189
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p5_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100_plus_2bp,48,408,6,-7485.455758109723,19750000.0,-3.6260715747929155,0.5612040526390172,0.46574623977879764,1.564464022100216,-3.790104181321379
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p6_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100_plus_2bp,48,408,8,-10020.020310007225,19350000.0,-5.067296347057507,0.5793923843946807,0.4874446192398305,2.8129673345507213,-5.178305069771175
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100_plus_2bp,84,444,8,-11004.989440856916,21000000.0,-5.140448795993725,0.5714858750993811,0.4860050423999948,2.778495484630208,-5.240471162312817
P268_P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR_H10_IQ0p9_SQ0p75_SPMID,P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR,cost100_plus_2bp,96,1128,11,-13289.319075567275,52250000.0,-2.348366184258574,-0.31411685436842857,-0.335528036485456,2.7161527653627986,-2.543410349390866
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100_plus_2bp,60,300,7,-13296.577993014977,14137500.0,-9.417050466991514,0.5684240131774291,0.5819640862289658,3.9532371020291985,-9.405183372601222
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p6_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100_plus_2bp,84,276,6,-14770.929421292713,13000000.0,-11.449001677136708,0.6130877267426078,0.6459493966209555,4.026595401916876,-11.362253400994394
P268_P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR_H10_IQ0p75_SQ0p75_SPMID,P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR,cost100_plus_2bp,96,1284,11,-18926.54141563378,58375000.0,-3.3204574742277364,-0.17685892582803614,-0.1535484990199793,2.6232443521530415,-3.2422340754833026
P268_P268_ASK_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPMID,P268_ASK_ABSORPTION_BREADTH_REPAIR,cost150,84,444,7,4132.531223022639,21050000.0,1.8651364733249336,-0.5728925988082649,-0.5865926963833548,2.7745721003892005,1.963197730652085
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,cost150,84,252,4,1399.0238663412476,11525000.0,0.7394204711465685,0.5466819106035098,0.619466423270732,4.4740938545955,1.2139035716626878
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,cost150,84,408,7,-932.5149470960158,19187500.0,-0.2920049330052295,0.5667030582519536,0.4377881418183883,2.591776808087591,-0.4860012753594871
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p9_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,cost150,48,84,2,-5687.845576166833,4000000.0,-14.917198192433984,0.5726958568431121,0.5731882969199219,5.400855943625852,-14.219613940417082
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p9_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,cost150,48,264,5,-6231.198196706235,12700000.0,-5.368374823584028,0.5437916140594434,0.4859700627387942,2.8778371127225912,-4.906455272997035
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p75_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,cost150,48,384,7,-7538.7660621005825,18400000.0,-4.106230674861566,0.5832381703101006,0.47749855884015613,3.0322639818498325,-4.097155468532925
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p75_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,cost150,48,276,5,-7804.776449772961,13400000.0,-5.6786420093283,0.5463500485581412,0.42572272107004205,1.561136444731472,-5.824460037144001
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,cost150,96,504,6,-9466.456344007309,23700000.0,-4.141034916924087,0.560463607605721,0.4766221534647502,1.55971691585822,-3.9942853772182736
